,mass,meta_rate
771,2.75,1723.2
772,3.56,2325.6
773,3.05,1794.1
774,3.43,1945.5
775,3.19,2208.3
776,3.12,1717.5
777,3.46,2020.3
778,0.0164,88.29999999999998
779,0.018000000000000002,74.09999999999998
780,0.0148,71.8
781,0.0168,64.7
782,0.0164,74.45
783,0.0187,80.7
784,0.0165,58.9
785,0.0163,33.6
786,0.0158,56.1
787,5.29,1390.0
788,5.73,1270.0
789,3.405,994.0
790,3.25,934.5
791,6.35,1530.0
792,1.5,451.0
793,1.46,435.5
794,2.83,445.0
795,1.61,629.0
796,2.225,718.5
797,27.0,5610.0
798,60.8,10730.0
799,67.1,41500.0
800,32.2,15900.0
801,38.35,21300.0
802,43.1,37100.0
803,48.9,23650.0
804,9.645,2550.0
805,4.635,1122.0
806,3.43,1080.0
807,3.16,1060.0
808,6.36,1765.0
809,0.775,655.0
810,1.1375,516.0
811,1.46,594.5
812,1.11,569.67
813,1.825,1080.0
814,0.8349999999999999,381.0
815,1.3625,924.0
816,1.3,478.0
817,0.01775,31.2
818,0.0149,41.4
819,0.0127,51.6
820,0.010625,22.6
821,0.0095,38.6
822,0.0105,30.4
823,0.005275,25.75
824,0.00645,35.4
825,0.01005,34.25
826,0.00805,46.6
827,0.0099,51.8
828,0.007349999999999998,41.2
829,0.0179,85.974
830,0.0159,102.86
831,0.0171,85.09
832,0.0177,124.48
833,0.0194,96.981
834,0.0213,106.93
835,0.0181,94.084
836,0.0179,83.11
837,0.0178,83.57099999999998
838,3.525,4555.0
839,4.6,5690.0
840,3.4625,4535.0
841,4.65,3970.0
842,3.5375,4020.0
843,3.475,3490.0
844,3.8625,3700.0
845,4.4,3810.0
846,0.041,130.0
847,0.0385,157.0
848,0.0495,186.0
849,0.046,176.0
850,0.041,148.0
851,0.044,59.0
852,0.046,95.0
853,0.0405,131.0
854,0.0435,181.0
855,0.039875,97.5
856,0.0455,207.0
857,0.0395,136.0
858,0.04,90.0
859,0.044,182.0
860,0.0415,184.0
861,0.00769,49.58
862,0.00739,58.38
863,0.0082,45.73
864,0.00815,46.51
865,0.00935,69.44
866,0.00915,62.43
867,0.007479999999999999,43.36
868,0.007849999999999998,54.52
869,0.008579999999999999,61.71
870,0.00845,57.73
871,0.0079,52.3
872,0.00905,51.11
873,0.0076,47.75
874,0.0079,55.12
875,0.062,191.03
876,0.052,221.12
877,0.051,190.19
878,0.105,339.12
879,0.113,315.23
880,0.10275,315.62
881,0.104,397.27
882,0.10475,340.11
883,0.1215,499.82
884,0.111,363.05
885,0.1005,337.56
886,0.1105,342.7
887,0.107,350.1
888,0.1028,361.9
889,0.107,311.4
890,0.1025,332.1
891,0.0585,194.0
892,0.057,214.5
893,0.057,263.4
894,0.0623,244.9
895,0.0518,192.4
896,0.0513,184.1
897,0.0508,165.3
898,0.054000000000000006,149.7
899,0.0503,226.4
900,0.0535,175.0
901,0.0558,256.4
902,0.13699999999999998,373.2
903,0.1425,344.6
904,0.1416,429.9
905,0.1595,381.6
906,0.1295,345.1
907,0.142,366.5
908,0.039,189.6
909,0.079,307.7
910,0.0302,181.8
911,0.029,203.2
912,0.0288,169.4
913,0.0525,215.9
914,0.063,236.2
915,0.0545,204.3
916,0.3785,686.9
917,0.2935,583.0
918,116.6,8579.5
919,53.2,6562.6
920,55.0,6802.9
921,25.5,5245.9
922,0.0033,28.3
923,0.00375,26.6
924,0.0041,37.9
925,0.00353,23.4
926,0.00355,45.2
927,0.00845,78.79999999999998
928,0.008829999999999998,92.6
929,0.009580000000000002,87.79999999999998
930,0.008229999999999998,67.5
931,0.00544,28.243
932,0.00382,16.018
933,0.0049,20.547
934,0.00395,14.0
935,0.00455,24.758
936,0.00444,34.798
937,0.00445,43.985
938,0.00432,32.779
939,0.107,157.0
940,0.11199999999999997,119.0
941,0.132,162.0
942,0.105,127.0
943,0.127,140.0
944,0.118,152.0
945,0.115,176.0
946,0.107,125.0
947,0.12,187.0
948,0.12,131.0
949,0.111,173.0
950,0.102,188.0
951,0.092,117.0
952,0.108,171.0
953,0.119,169.0
954,0.093,177.0
955,0.138,154.0
956,0.117,173.0
957,0.14800000000000002,176.0
958,0.144,120.0
959,0.141,173.0
960,0.125,127.0
961,0.118,159.0
962,0.119,134.0
963,0.124,148.0
964,0.11,142.0
965,0.123,193.0
966,0.13,177.0
967,0.114,245.0
968,0.111,149.0
969,0.119,188.0
970,0.121,126.0
971,0.127,166.0
972,0.127,161.0
973,0.123,107.0
974,0.146,183.0
975,0.02115,38.966
976,0.0186,28.611
977,0.0166,38.372
978,0.0988,136.7
979,0.1006,164.84
980,0.08939999999999998,128.55
981,44.5,14570.0
982,41.0,14780.0
983,56.0,15260.0
984,50.5,11600.0
985,0.01465,93.71
986,0.01735,83.59
987,0.01835,108.37
988,0.019,96.92
989,0.0178,105.66
990,0.0181,137.42
991,0.0178,79.23999999999998
992,0.01775,97.21
993,0.0174,108.15
994,0.01825,121.84
995,0.047,97.33
996,0.08599999999999998,88.83
997,0.098,150.67
998,0.0665,111.94
999,0.057,102.21
1000,0.0975,50.49
1001,0.0845,75.01999999999998
1002,0.07200000000000001,81.45
1003,0.067,111.03
1004,0.07249999999999998,139.49
1005,0.079,128.25
1006,0.07499999999999998,106.02
1007,0.0485,134.46
1008,0.0638,207.35
1009,0.063,210.11
1010,0.0543,97.08
1011,0.067,60.02
1012,0.06,138.37
1013,0.056,94.34
1014,0.055,28.46
1015,0.057,103.81
1016,0.061,166.5
1017,0.059,85.37
1018,0.0435,86.78
1019,0.0555,149.4
1020,0.063,103.03
1021,0.0385,86.5
1022,0.07,129.13
1023,0.054000000000000006,120.37
1024,0.063,118.94
1025,0.0635,100.35
1026,0.0468,49.63
1027,0.0485,59.79
1028,0.051,63.46
1029,0.0505,71.81
1030,0.0495,62.1
1031,0.0525,71.87
1032,0.07499999999999998,68.7
1033,0.0428,79.06
1034,0.063,56.35
1035,0.05,76.42
1036,0.052,69.31
1037,0.0605,41.67
1038,0.064,64.88
1039,0.071,94.61000000000001
1040,0.0648,74.26
1041,0.0605,98.45
1042,0.051,53.92
1043,0.0515,47.9
1044,0.0655,53.45
1045,3.78,766.0
1046,2.69,645.0
1047,2.965,720.0
1048,2.925,762.0
1049,3.743,764.0
1050,2.695,850.0
1051,2.715,581.0
1052,0.0194,9.52
1053,0.0232,14.45
1054,0.0261,9.19
1055,0.0158,8.21
1056,0.0225,15.71
1057,0.0214,15.3
1058,0.0187,11.49
1059,0.0212,12.08
1060,0.0236,12.22
1061,0.0179,9.84
1062,0.0177,19.13
1063,8.25,1342.0
1064,10.975,1666.0
1065,8.724999999999998,1689.0
1066,10.55,1576.0
1067,9.75,1686.0
1068,9.35,1900.0
1069,9.075,1575.0
1070,12.0,2235.0
1071,9.075,1405.0
1072,8.675,1212.0
1073,1.3,777.0
1074,1.7,1010.0
1075,1.26,1060.0
1076,1.32,1180.0
1077,1.34,1170.0
1078,1.53,1190.0
1079,1.08,841.0
1080,1.23,791.0
1081,1.29,915.0
1082,1.28,959.0
1083,1.23,1070.0
1084,1.31,914.0
1085,1.4,964.0
1086,1.31,1000.0
1087,1.32,897.0
1088,1.35,818.0
1089,1.42,1100.0
1090,1.43,1110.0
1091,1.44,1010.0
1092,1.54,948.0
1093,1.688,611.0
1094,1.5819999999999999,582.0
1095,2.172,700.0
1096,1.966,622.0
1097,2.038,528.0
1098,1.806,540.0
1099,1.806,477.0
1100,1.11,434.0
1101,1.5819999999999999,606.0
1102,1.7619999999999996,695.0
1103,1.674,553.0
1104,2.166,791.0
1105,1.77,460.0
1106,2.088,592.0
1107,2.206,859.0
1108,2.122,680.0
1109,2.41,440.0
1110,2.438,635.0
1111,2.504,497.0
1112,2.38,736.0
1113,2.038,532.0
1114,2.6460000000000004,771.0
1115,0.02365,71.1
1116,0.0246,72.9
1117,0.02535,60.5
1118,0.0231,81.9
1119,0.0244,64.2
1120,0.0233,109.5
1121,0.0249,119.1
1122,0.02455,124.3
1123,0.02685,110.6
1124,0.02505,92.1
1125,0.022925,109.25
1126,0.02375,93.9
1127,0.025375,100.15
1128,0.023025,97.2
1129,0.02745,108.5
1130,0.024125,86.4
1131,0.0233,93.0
1132,0.0243,103.1
1133,0.161,369.91
1134,0.151,385.06
1135,0.152,454.29
1136,0.168,499.46
1137,0.129,337.1
1138,0.145,370.21
1139,0.143,393.54
1140,0.139,318.48
1141,0.354,206.4
1142,0.354,311.9
1143,0.327,342.5
1144,0.369,442.7
1145,0.322,265.7
1146,0.366,312.6
1147,0.486,400.4
1148,0.0491,93.98
1149,0.05245,50.32
1150,0.0487,76.09
1151,0.0517,58.88
1152,0.0471,51.95
1153,0.0527,68.85
1154,0.0488,26.26
1155,0.05225,26.86
1156,0.05005,31.73
1157,0.0521,68.23
1158,0.45,982.0
1159,0.403,1515.0
1160,0.397,806.0
1161,0.435,1733.0
1162,0.38,451.0
1163,0.402,420.0
1164,0.349,398.0
1165,0.368,774.0
1166,0.386,486.5
1167,0.407,925.0
1168,0.451,925.0
1169,0.403,1339.0
1170,0.436,1054.0
1171,0.438,1363.0
1172,0.395,1177.0
1173,0.383,1072.0
1174,0.388,782.0
1175,0.455,457.0
1176,0.264,460.0
1177,0.242,427.0
1178,0.236,438.0
1179,0.225,434.0
1180,0.221,384.0
1181,0.192,366.0
1182,0.145,259.0
1183,0.142,239.0
1184,0.121,213.0
1185,0.0747,169.0
1186,0.425,494.0
1187,0.08019999999999998,123.0
1188,0.0717,107.0
1189,0.0647,140.0
1190,0.0608,130.0
1191,0.0383,42.4
1192,0.0398,45.0
1193,0.0364,52.9
1194,0.117,226.0
1195,0.118,231.0
1196,0.405,613.0
1197,0.399,463.0
1198,0.394,521.0
1199,0.39,586.0
1200,0.337,388.0
1201,0.325,472.0
1202,0.319,569.0
1203,0.0529,185.4
1204,0.0443,260.1
1205,0.0515,162.3
1206,0.051,258.1
1207,0.0543,221.6
1208,0.0563,230.9
1209,0.0548,223.7
1210,0.0464,227.6
1211,0.0547,264.4
1212,0.0495,279.9
1213,0.0521,241.4
1214,0.0592,203.3
1215,0.0527,260.6
1216,0.0515,199.7
1217,0.0526,182.2
1218,0.0508,220.3
1219,0.0475,272.3
1220,0.0425,222.3
1221,0.0468,251.1
1222,0.0284,144.3
1223,0.0247,164.2
1224,0.0279,145.2
1225,0.032,159.0
